TIMESHEET_ID,EMPLOYEE_ID,JOB_TITLE,WEEK_STARTING,HOURS_WORKED,HOURLY_RATE_GBP,TOTAL_AMOUNT_GBP,PO_NUMBER,PO_APPROVED_HOURS,PO_BUDGET_GBP,MATCH_STATUS,VARIANCE_HOURS,DEPARTMENT,COST_CENTRE,SOURCE_SYSTEM,TARGET_SYSTEM,PERIOD
TS-00001,EMP-0020,Analyst,2024-03-25,31.9,56.24,1794.06,PO-01044,41.1,2311.46,OVER_CLAIMED,-9.2,Finance,CC006,MS-SQL-SERVER,ORACLE-GL,2024-03
TS-00002,EMP-0012,Consultant,2024-09-02,24.4,103.52,2525.89,PO-01018,26.5,2743.28,MATCHED,0.0,IT,CC003,MS-SQL-SERVER,ORACLE-GL,2024-09
TS-00003,EMP-0024,Engineer,2024-04-01,25.8,87.66,2261.63,PO-01003,17.2,1507.75,MATCHED,0.0,Operations,CC003,MS-SQL-SERVER,ORACLE-GL,2024-04
TS-00004,EMP-0031,Coordinator,2024-07-01,29.8,119.01,3546.5,PO-01018,22.4,2665.82,UNMATCHED,7.4,IT,CC002,MS-SQL-SERVER,ORACLE-GL,2024-07
TS-00005,EMP-0031,Consultant,2024-02-26,41.8,54.43,2275.17,PO-01155,48.2,2623.53,OVER_CLAIMED,-6.4,Sales,CC003,MS-SQL-SERVER,ORACLE-GL,2024-02
TS-00006,EMP-0001,Consultant,2024-09-16,25.1,93.09,2336.56,PO-01115,24.3,2262.09,MATCHED,0.0,Finance,CC004,MS-SQL-SERVER,ORACLE-GL,2024-09
TS-00007,EMP-0030,Developer,2024-09-23,40.2,74.96,3013.39,PO-01148,48.4,3628.06,UNMATCHED,-8.2,Finance,CC006,MS-SQL-SERVER,ORACLE-GL,2024-09
TS-00008,EMP-0046,Manager,2024-02-05,27.2,108.69,2956.37,PO-01101,26.3,2858.55,OVER_CLAIMED,0.9,Sales,CC002,MS-SQL-SERVER,ORACLE-GL,2024-02
TS-00009,EMP-0025,Coordinator,2024-07-01,26.2,110.5,2895.1,PO-01047,30.9,3414.45,UNMATCHED,-4.7,Procurement,CC005,MS-SQL-SERVER,ORACLE-GL,2024-07
TS-00010,EMP-0018,Coordinator,2024-02-12,29.8,114.84,3422.23,PO-01138,24.6,2825.06,MATCHED,0.0,HR,CC006,MS-SQL-SERVER,ORACLE-GL,2024-02
TS-00011,EMP-0027,Engineer,2024-01-29,37.5,93.63,3511.12,PO-01032,31.8,2977.43,UNMATCHED,5.7,HR,CC001,MS-SQL-SERVER,ORACLE-GL,2024-01
TS-00012,EMP-0011,Manager,2024-12-02,22.6,97.82,2210.73,PO-01054,19.1,1868.36,UNMATCHED,3.5,Sales,CC001,MS-SQL-SERVER,ORACLE-GL,2024-12
TS-00013,EMP-0025,Manager,2024-07-22,20.7,85.69,1773.78,PO-01191,24.2,2073.7,UNMATCHED,-3.5,IT,CC002,MS-SQL-SERVER,ORACLE-GL,2024-07
