TRANSACTION_ID,TRANSACTION_DATE,COMPANY_CODE,DEPARTMENT,COST_CENTRE,GL_ACCOUNT,DESCRIPTION,DEBIT_AMOUNT,CREDIT_AMOUNT,CURRENCY,SOURCE_SYSTEM,TARGET_SYSTEM,STATUS,ERROR_TYPE,PERIOD
TXN-00001,2024-05-05,CORP-US,Operations,CC006,5001-Revenue,Journal entry 1 - Payroll posting,5655.42,37103.37,GBP,MS-SQL-SERVER,ORACLE-GL,PENDING,,2024-05
TXN-00002,2024-04-29,CORP-UK,Sales,CC002,8001-Tax,Journal entry 2 - Payroll posting,1685.96,4775.39,NGN,MS-SQL-SERVER,ORACLE-GL,ERROR,CURRENCY_MISMATCH,2024-04
TXN-00003,2024-05-22,CORP-UK,Operations,CC006,6003-Utilities,Journal entry 3 - Revenue recognition,22515.53,22515.53,EUR,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-05
TXN-00004,2024-06-21,CORP-UK,Finance,CC004,5001-Revenue,Journal entry 4 - Revenue recognition,10844.16,10844.16,EUR,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-06
TXN-00005,2024-10-01,CORP-UK,IT,,5001-Revenue,Journal entry 5 - Payroll posting,40375.7,36513.62,EUR,MS-SQL-SERVER,ORACLE-GL,ERROR,MISSING_COST_CENTRE,2024-10
TXN-00006,2024-10-22,CORP-US,Procurement,CC001,5001-Revenue,Journal entry 6 - Expense claim,30964.14,43099.17,EUR,MS-SQL-SERVER,ORACLE-GL,PENDING,,2024-10
TXN-00007,2024-02-21,CORP-ZA,HR,CC004,8001-Tax,Journal entry 7 - Revenue recognition,42780.35,42780.35,USD,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-02
TXN-00008,2024-12-09,CORP-NG,Procurement,CC006,8001-Tax,Journal entry 8 - Monthly accrual,17828.01,17828.01,USD,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-12
TXN-00009,2024-11-23,CORP-US,Procurement,CC003,5001-Revenue,Journal entry 9 - Expense claim,8253.78,19034.83,GBP,MS-SQL-SERVER,ORACLE-GL,ERROR,,2024-11
TXN-00010,2024-02-03,CORP-US,Sales,CC006,6002-Travel,Journal entry 10 - Expense claim,20118.12,20118.12,NGN,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-02
TXN-00011,2024-11-25,CORP-ZA,Operations,CC003,6001-Salaries,Journal entry 11 - Expense claim,44245.69,44245.69,EUR,MS-SQL-SERVER,ORACLE-GL,VALID,,2024-11
TXN-00012,2024-07-23,CORP-NG,Operations,CC002,7001-Depreciation,Journal entry 12 - Asset write-off,29270.84,44901.36,GBP,MS-SQL-SERVER,ORACLE-GL,PENDING,,2024-07
